Symbol,Name,Sector,Dividend Yield,Earnings/Share,Book Value,Market Cap,EBITDA
MMM,3M Company,Industrials,2.48,8.16,17.26,112.74,8.7
ABT,Abbott Laboratories,Health Care,2.34,0.94,13.94,77.76,4.59
ABBV,AbbVie,Health Care,4.04,3.63,2.91,101.52,10.95
ACN,Accenture plc,Information Technology,1.96,6.76,11.95,77.29,5.66
ATVI,Activision Blizzard,Information Technology,0.64,1.28,12.23,36.13,2.14
AYI,Acuity Brands Inc,Industrials,0.25,6.92,39.5,9,0.5862
ADBE,Adobe Systems Inc,Information Technology,0,2.32,15.02,59.28,1.82
AAP,Advance Auto Parts,Consumer Discretionary,0.15,6.2,39.66,11.18,1.12
AES,AES Corp,Utilities,4.16,-1.71,4.24,7.47,3.42
AET,Aetna Inc,Health Care,1.53,6.41,50.84,45.93,6.2
AMG,Affiliated Managers Group Inc,Financials,0.47,8.57,63.84,9.44,0.835
AFL,AFLAC Inc,Financials,2.38,6.42,50.47,28.88,4.78
A,Agilent Technologies Inc,Health Care,1.02,1.56,13.35,16.49,0.942
APD,Air Products & Chemicals Inc,Materials,2.72,2.6,32.91,30.38,3.13
AKAM,Akamai Technologies Inc,Information Technology,0,1.79,18.61,10.96,0.70798
ALK,Alaska Air Group Inc,Industrials,1.21,6.54,23.77,11.74,1.82
ALB,Albemarle Corp,Materials,1.22,5.68,33.73,11.68,0.70201
ALXN,Alexion Pharmaceuticals,Health Care,0,1.76,38.81,29.02,1.17
ALLE,Allegion,Industrials,0.87,2.36,1.19,6.96,0.4789
AGN,"Allergan, Plc",Health Care,1.14,38.18,212.79,80.32,6.1
ADS,Alliance Data Systems,Information Technology,0.85,7.34,28.89,13.7,1.46
LNT,Alliant Energy Corp,Utilities,3.22,1.64,16.96,8.94,1.03
ALL,Allstate Corp,Financials,1.66,4.67,51.44,29.74,3.46
GOOGL,Alphabet Inc Class A,Information Technology,0,27.88,201.12,588.5,29.86
GOOG,Alphabet Inc Class C,Information Technology,0,27.88,201.12,575.2,29.86
MO,Altria Group Inc,Consumer Staples,3.23,7.28,6.58,147.64,9.5
AMZN,Amazon.com Inc,Consumer Discretionary,0,4.9,40.43,403.7,11.67
AEE,Ameren Corp,Utilities,3.21,2.68,29.28,13.3,2.3
AAL,American Airlines Group,Industrials,0.85,4.81,7.46,22.61,7.83
AEP,American Electric Power,Utilities,3.55,1.24,35.38,32.57,5.29
AXP,American Express Co,Financials,1.6,5.65,22.68,71.72,0
AIG,"American International Group, Inc.",Financials,1.99,-0.78,76.66,62.15,4.34
AMT,American Tower Corp A,Real Estate,2.01,1.98,15.84,49,3.46
AWK,American Water Works Company Inc,Utilities,1.94,2.62,29.3,13.7,1.62
AMP,Ameriprise Financial,Financials,2.25,7.81,40.66,20.36,2.77
ABC,AmerisourceBergen Corp,Health Care,1.58,5.99,9.75,19.22,2.16
AME,AMETEK Inc,Industrials,0.66,2.19,14.2,12.51,1.01
AMGN,Amgen Inc,Health Care,2.55,10.24,40.47,130.63,12
APH,Amphenol Corp,Information Technology,0.91,2.61,11.92,21.62,1.46
APC,Anadarko Petroleum Corp,Energy,0.32,-5.9,22.16,35.31,2.97
ADI,"Analog Devices, Inc.",Information Technology,2.16,2.93,17.16,25.79,1.37
ANTM,Anthem Inc.,Health Care,1.57,9.21,95.17,43.89,5.78
AON,Aon plc,Financials,1.13,5.16,20.9,30.34,2.39
APA,Apache Corporation,Energy,1.92,-3.71,16.44,19.47,2.4
AIV,Apartment Investment & Mgmt,Real Estate,3.17,2.67,10.64,7.13,0.57096
AAPL,Apple Inc.,Information Technology,1.63,8.33,25.19,732,69.75
AMAT,Applied Materials Inc,Information Technology,1.08,1.94,7.12,39.92,2.99
ADM,Archer-Daniels-Midland Co,Consumer Staples,2.83,2.16,29.97,25.39,2.54
ARNC,Arconic Inc,Industrials,0.85,-2.31,11.53,11.89,2.29
AJG,Arthur J. Gallagher & Co.,Financials,2.74,2.32,20.17,10.06,0.8688
AIZ,Assurant Inc,Financials,2.12,9.13,73.26,5.54,1.04
T,AT&T Inc,Telecommunications Services,4.67,2.1,20.06,257.21,49.74
ADSK,Autodesk Inc,Information Technology,0,-2.6,3.33,18.15,-0.2799
ADP,Automatic Data Processing,Information Technology,2.18,3.72,8.5,46.81,2.73
AN,AutoNation Inc,Consumer Discretionary,0,4.15,22.95,4.57,0.9707
AZO,AutoZone Inc,Consumer Discretionary,0,42.64,-64.18,20.29,2.39
AVB,"AvalonBay Communities, Inc.",Real Estate,3.14,7.52,74.07,25.14,1.32
AVY,Avery Dennison Corp,Materials,2.01,3.54,10.48,7.09,0.7403
BHI,Baker Hughes Inc,Energy,1.14,-6.31,29.76,25.27,-0.121
BLL,Ball Corp,Materials,0.7,1.39,20.04,12.63,1.28
BAC,Bank of America Corp,Financials,1.18,1.5,24.04,265.12,0
BCR,Bard (C.R.) Inc.,Health Care,0.42,7.03,22.98,17.7,1.15
BAX,Baxter International Inc.,Health Care,1.02,9.01,15.36,27.57,1.97
BBT,BB&T Corporation,Financials,2.47,2.77,33.14,38.75,0
BDX,Becton Dickinson,Health Care,1.58,6.01,35.63,39.15,3.26
BBBY,Bed Bath & Beyond,Consumer Discretionary,1.24,4.71,17.82,5.73,1.5
BBY,Best Buy Co. Inc.,Consumer Discretionary,2.64,3.81,15.03,13.96,2.6
BIIB,BIOGEN IDEC Inc.,Health Care,0,16.93,56.23,62.86,6.37
BLK,BlackRock,Financials,2.56,19.04,178.38,62.86,4.88
HRB,Block H&R,Financials,4.19,1.56,-2.64,4.32,0.82645
BA,Boeing Company,Industrials,3.12,7.61,1.32,111.48,8.68
BWA,BorgWarner,Consumer Discretionary,1.3,0.55,15.16,8.87,0.8076
BXP,Boston Properties,Real Estate,2.21,3.26,36.32,20.87,1.53
BSX,Boston Scientific,Health Care,0,0.25,4.94,33.38,2.2
BMY,Bristol-Myers Squibb,Health Care,2.72,2.65,9.68,94.22,6.7
AVGO,Broadcom,Information Technology,1.87,-4.73,47.7,87.48,5.95
CHRW,C. H. Robinson Worldwide,Industrials,2.26,3.59,8.9,11.15,0.9008
CA,"CA, Inc.",Information Technology,3.14,1.89,13.49,13.36,1.28
COG,Cabot Oil & Gas,Energy,0.36,-0.91,5.52,10.67,0.46353
CPB,Campbell Soup,Consumer Staples,2.35,1.61,4.83,18.08,1.57
COF,Capital One Financial,Financials,1.7,6.89,98.96,44.57,0
CAH,Cardinal Health Inc.,Health Care,2.17,4.15,17.91,25.62,3.07
KMX,Carmax Inc,Consumer Discretionary,0,3.16,16.09,11.94,1.21
CCL,Carnival Corp.,Consumer Discretionary,2.51,3.72,31.12,40.31,4.76
CAT,Caterpillar Inc.,Industrials,3.24,-0.12,22.4,56.26,4.92
CBOE,CBOE Holdings,Financials,1.28,2.27,3.91,6.34,0.35726
CBG,CBRE Group,Real Estate,0,1.69,9.07,12.02,1.2
CBS,CBS Corp.,Consumer Discretionary,1.06,2.81,8.95,27.82,3.1
CELG,Celgene Corp.,Health Care,0,2.49,8.48,94.97,4.01
CNC,Centene Corporation,Health Care,0,3.43,34.29,12.14,1.97
CNP,CenterPoint Energy,Utilities,3.84,1,8.03,12.06,2.09
CTL,CenturyLink Inc,Telecommunications Services,9.2,1.16,24.52,12.3,6.49
CERN,Cerner,Health Care,0,1.85,11.92,18.12,1.32
CF,CF Industries Holdings Inc,Materials,3.88,-1.19,14.36,7.04,1.24
SCHW,Charles Schwab Corporation,Financials,0.75,1.31,10.23,55.61,0
CHTR,Charter Communications,Consumer Discretionary,0,15.95,149.27,86.92,10.73
CHK,Chesapeake Energy,Energy,0,-33.88,-3.59,4.67,0.215
CVX,Chevron Corp.,Energy,3.8,-0.27,76.95,211.67,13.36
CMG,Chipotle Mexican Grill,Consumer Discretionary,0,0.77,48.67,11.65,0.20481
CB,Chubb Limited,Financials,1.99,8.87,103.6,64,5.69
CHD,Church & Dwight,Consumer Staples,1.45,1.75,7.79,12.62,0.8367
CI,CIGNA Corp.,Health Care,0.03,7.19,53.42,39.03,3.85
XEC,Cimarex Energy,Energy,0.25,-4.62,25.27,11.6,0.58573
CINF,Cincinnati Financial,Financials,2.7,3.55,42.95,12.05,0.913
CTAS,Cintas Corporation,Industrials,0.89,4.8,19.29,12.42,0.98328
CSCO,Cisco Systems,Information Technology,3.38,1.94,12.74,171.27,14.67
C,Citigroup Inc.,Financials,1.05,4.72,74.26,167.63,0
CFG,Citizens Financial Group,Financials,1.46,1.97,38.09,19.33,0
CTXS,Citrix Systems,Information Technology,0,3.41,16.69,12.49,1.03
CME,CME Group Inc.,Financials,2.13,4.53,60.14,41.97,2.45
CMS,CMS Energy,Utilities,3,1.98,15.23,12.42,2
COH,Coach Inc.,Consumer Discretionary,3.55,1.82,10.02,10.61,0.8989
KO,Coca Cola Company,Consumer Staples,3.48,1.49,5.38,180.28,11.53
CTSH,Cognizant Technology Solutions,Information Technology,0,2.55,17.65,35.2,2.67
CL,Colgate-Palmolive,Consumer Staples,2.12,2.72,-0.28,65.08,4.42
CMCSA,Comcast Corp.,Consumer Discretionary,1.69,1.78,11.38,177.45,26.48
CMA,Comerica Inc.,Financials,1.25,2.68,44.47,12.77,0
CAG,ConAgra Foods Inc.,Consumer Staples,1.94,1.42,10.22,17.73,1.83
CXO,Concho Resources,Energy,0,-10.85,52.61,19.35,0.57181
