Ticker Symbol,For Year,After Tax ROE,Gross Margin,Operating Margin,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Cash and Cash Equivalents,Cost of Revenue,Earnings Before Interest and Tax,Fixed Assets,Gross Profit,Liabilities,Long-Term Debt,Net Cash Flow,Net Cash Flow-Operating,Net Income Adjustments,Net Income-Cont. Operations,Retained Earnings,Sale and Purchase of Stock,Total Assets,Total Equity,Total Liabilities,Total Revenue
AAL,2015,135,73,15,11,82,19,1085000000,11096000000,5496000000,27510000000,29894000000,-633000000,18330000000,-604000000,6249000000,-2662000000,7610000000,-1230000000,-3846000000,48415000000,5635000000,42780000000,40990000000
AAP,2015,19,45,8,8,31,5,90782000,5314246000,818296000,1434577000,4422772000,174667000,1213161000,-13889000,689642000,30250000,473398000,2021077000,-1491000,8134565000,2460648000,5673917000,9737018000
AAPL,2015,45,40,30,31,61,23,21120000000,1.40E+11,72515000000,22471000000,93626000000,15188000000,53329000000,7276000000,81266000000,4968000000,53394000000,92284000000,-34710000000,2.90E+11,1.19E+11,1.71E+11,2.34E+11
ABBV,2015,130,80,33,29,168,23,8399000000,4500000000,7331000000,2565000000,18359000000,1503000000,29240000000,51000000,7535000000,1051000000,5144000000,2248000000,-7425000000,53050000000,3945000000,49105000000,22859000000
ABC,2015,22,3,0,0,44,0,2167442000,1.32E+11,378000000,1192510000,3529313000,5122127000,3739225000,358929000,3922228000,1577391000,-138165000,1164489000,-1665115000,27962982000,616386000,27346596000,1.36E+11
ABT,2015,21,57,14,16,15,22,5001000000,8747000000,3346000000,5732000000,11658000000,215000000,5871000000,938000000,2966000000,-2773000000,2606000000,25757000000,-1923000000,41247000000,21211000000,20036000000,20405000000
ADBE,2015,9,84,19,18,12,13,876560000,744317000,937965000,787421000,4051194000,350908000,1907231000,-240840000,1469502000,236773000,629551000,7253431000,-647103000,11726472000,7001580000,4724892000,4795511000
ADI,2015,14,66,24,24,16,20,884353000,1175830000,837144000,644110000,2259262000,89394000,495341000,315120000,907798000,-1366000,696878000,4437315000,-104322000,7058777000,5072959000,1985818000,3435092000
ADM,2015,10,6,3,3,13,3,6124000000,63682000000,2592000000,9853000000,4020000000,-1693000000,5779000000,-189000000,2481000000,-496000000,2239000000,16865000000,-2040000000,40157000000,17899000000,22242000000,67702000000
ADS,2015,30,30,20,14,46,9,1624601000,4482700000,1261860000,576706000,1957046000,98026000,10136018000,90885000,1705841000,638239000,596541000,3092464000,-1020923000,22421830000,2010030000,20411800000,6439746000
ADSK,2015,4,86,5,3,4,3,1410600000,342100000,120700000,159200000,2170100000,376000000,743100000,-442400000,708100000,165600000,81800000,499400000,-197000000,4909700000,2219200000,2690500000,2512200000
AEE,2015,9,43,21,16,14,10,292000000,3501000000,1303000000,18799000000,2597000000,-91000000,6880000000,287000000,2017000000,367000000,585000000,1331000000,-12000000,23640000000,6946000000,16694000000,6098000000
AEP,2015,11,55,20,16,15,12,283700000,7433500000,3496800000,46133200000,9019700000,87600000,17740900000,13900000,4748700000,319200000,1768600000,8398300000,81600000,61683100000,17891700000,43791400000,16453200000
AFL,2015,14,37,19,19,22,12,4350000000,13049000000,4151000000,427000000,7823000000,3488000000,5952000000,-308000000,6776000000,-140000000,2533000000,24007000000,-1279000000,1.18E+11,17708000000,1.01E+11,20872000000
AIG,2015,2,37,6,6,4,4,1629000000,36581000000,4562000000,0,21746000000,548000000,29350000000,-129000000,2877000000,153000000,2222000000,30943000000,-10691000000,4.97E+11,89658000000,4.07E+11,58327000000
AIV,2015,15,63,26,7,4,25,137745000,365248000,263551000,5529461000,616062000,-22334000,0,21818000,359891000,-201864000,91390000,-2596917000,339580000,6144194000,1622391000,4521803000,981310000
AIZ,2015,3,16,2,2,4,1,1288305000,8666624000,256297000,298414000,1658870000,294043000,1391801000,-30351000,254572000,-15593000,141555000,4856674000,-292906000,30036402000,4523967000,25512435000,10325494000
AJG,2015,10,100,5,5,8,7,1892500000,0,396500000,249000000,5392400000,605900000,4948800000,166000000,652600000,-109400000,389100000,774500000,163400000,10910500000,3638300000,7272200000,5392400000
AKAM,2015,10,67,21,21,15,15,289473000,725620000,475149000,753180000,1471828000,54503000,624288000,50823000,764151000,107278000,321406000,-1276861000,-240815000,4187925000,3120878000,1067047000,2197448000
ALB,2015,10,33,12,10,11,9,213734000,2454463000,490909000,2484738000,1196872000,-73151000,3174674000,-2276034000,360689000,-160791000,360064000,1615407000,-4267000,9615014000,3254392000,6360622000,3651335000
ALK,2015,35,65,23,23,54,15,73000000,1935000000,1320000000,4802000000,3663000000,131000000,571000000,-34000000,1584000000,25000000,848000000,2890000000,-505000000,6533000000,2411000000,4122000000,5598000000
ALL,2015,11,36,9,9,16,6,495000000,22837000000,3574000000,1024000000,12816000000,1111000000,5124000000,-162000000,3616000000,728000000,2171000000,39413000000,-2678000000,1.05E+11,20025000000,84631000000,35653000000
ALLE,2015,601,42,17,10,818,7,199700000,1199000000,262200000,224800000,869100000,-17200000,1457500000,-90800000,257000000,91400000,154700000,232400000,-19000000,2263000000,25600000,2237400000,2068100000
ALXN,2015,2,91,21,19,6,6,1010000000,233000000,546000000,697000000,2371000000,-154000000,3405000000,66000000,675000000,779000000,144000000,1181000000,-250000000,13097000000,8259000000,4838000000,2604000000
AMAT,2015,18,41,18,17,21,14,4797000000,5707000000,1701000000,892000000,3952000000,-334000000,3342000000,1795000000,1163000000,50000000,1377000000,13967000000,-1237000000,15308000000,7613000000,7695000000,9659000000
AME,2015,18,36,23,20,25,15,381005000,2549280000,898175000,484548000,1425015000,-75009000,1556045000,3390000,672540000,30220000,590859000,3974793000,-396208000,6664530000,3254626000,3409904000,3974295000
AMG,2015,18,100,32,45,38,21,563800000,0,1139200000,114100000,2435900000,-42000000,1894800000,13200000,1204800000,208500000,804900000,2679300000,-476400000,7784800000,2837100000,4947700000,2435900000
AMGN,2015,25,80,39,37,28,32,4144000000,4227000000,9073000000,4907000000,17435000000,899000000,29182000000,413000000,9731000000,-431000000,6939000000,-2086000000,-1785000000,71449000000,28083000000,43366000000,21662000000
AMP,2015,22,81,21,18,30,13,5808000000,2261000000,2559000000,0,9939000000,576000000,2907000000,-281000000,2572000000,-116000000,1687000000,9551000000,-1470000000,1.45E+11,7217000000,1.38E+11,12200000000
AMT,2015,10,73,34,17,12,14,462879000,1308868000,1425911000,9866424000,3462648000,150984000,17068807000,7194000,2183052000,354073000,685074000,-998535000,4711190000,26904272000,6651679000,20252593000,4771516000
AMZN,2015,4,33,2,1,12,1,15890000000,71651000000,2027000000,21838000000,35355000000,12608000000,8227000000,1333000000,11920000000,2486000000,596000000,2545000000,0,64747000000,13384000000,51363000000,1.07E+11
AN,2015,19,16,4,3,31,2,74100000,17600500000,871900000,2667400000,3261500000,566700000,1745300000,-1300000,507200000,16200000,443700000,2702800000,-207300000,9548200000,2349300000,7198900000,20862000000
ANTM,2015,11,23,6,6,20,3,2113500000,61116900000,5284000000,2019800000,18039600000,735500000,15864500000,-38200000,4116000000,-79100000,2560000000,14778500000,-1329800000,61717800000,23044100000,38673700000,79156500000
AON,2015,23,100,16,14,28,12,384000000,0,1962000000,765000000,11682000000,-976000000,5737000000,10000000,2009000000,36000000,1422000000,4117000000,-1619000000,27164000000,6106000000,21058000000,11682000000
APA,2015,917,68,437,442,1100,369,1467000000,2065000000,-27927000000,14119000000,4318000000,-507000000,8777000000,698000000,2984000000,-2835000000,-22757000000,-7153000000,0,18842000000,2566000000,16276000000,6383000000
APC,2015,52,63,101,111,76,77,939000000,3185000000,-8864000000,33751000000,5513000000,-6205000000,15636000000,-6430000000,-1877000000,5767000000,-6692000000,4880000000,514000000,46331000000,12819000000,33512000000,8698000000
APD,2015,18,30,17,18,24,13,206400000,6939000000,1846200000,10095300000,2955900000,156200000,3949100000,-130200000,2446400000,-32300000,1324400000,10580400000,-157100000,17334500000,7249000000,10085500000,9894900000
APH,2015,24,32,20,19,33,14,1737200000,3789200000,1121100000,609500000,1779500000,35400000,2813200000,768300000,1030500000,28000000,763500000,2804400000,-184500000,7458400000,3238500000,4219900000,5568700000
ARNC,2015,3,20,3,1,2,1,1919000000,18069000000,746000000,14815000000,4465000000,-1199000000,9044000000,42000000,1582000000,1874000000,-322000000,8834000000,27000000,36528000000,12046000000,24482000000,22534000000
ATVI,2015,11,66,28,24,14,19,1823000000,1585000000,1319000000,189000000,3079000000,181000000,4079000000,-3025000000,1192000000,41000000,892000000,4096000000,106000000,15251000000,8068000000,7183000000,4664000000
AVB,2015,8,100,38,40,8,40,400507000,0,919209000,15942309000,1856028000,23113000,6555750000,-108953000,1056754000,-184892000,741733000,-197989000,674686000,16931305000,9840526000,7090779000,1856028000
AVGO,2015,29,52,24,21,31,20,1822000000,3271000000,1658000000,1460000000,3553000000,37000000,3826000000,218000000,2318000000,6000000,1391000000,2240000000,241000000,10515000000,4714000000,5801000000,6824000000
AVY,2015,28,28,9,7,42,5,158800000,4321100000,469400000,847900000,1645800000,29800000,963600000,-48400000,473700000,135100000,274400000,2277600000,-128300000,4133700000,965700000,3168000000,5966900000
AWK,2015,9,56,34,25,15,15,66000000,1404000000,782000000,13933000000,1755000000,23000000,6211000000,22000000,1179000000,333000000,476000000,-1073000000,-87000000,17241000000,5049000000,12180000000,3159000000
AXP,2015,25,0,0,23,38,15,26263000000,475000000,9086000000,4108000000,0,653000000,0,474000000,10972000000,2728000000,5163000000,9665000000,-3446000000,1.61E+11,20673000000,1.41E+11,34441000000
AYI,2015,16,42,14,13,25,8,756800000,1561100000,375100000,174600000,1145600000,82400000,352400000,204300000,288900000,6700000,222100000,1093000000,11600000,2407000000,1360000000,1047000000,2706700000
AZO,2015,68,52,19,18,106,11,175309000,4860309000,1953051000,3505632000,5327031000,366223000,4624876000,50824000,1525123000,11994000,1160241000,-1418738000,-1204699000,8102349000,-1701390000,9803739000,10187340000
BA,2015,82,15,8,7,113,5,11302000000,82088000000,7430000000,12076000000,14026000000,3949000000,8730000000,-431000000,9363000000,559000000,5176000000,38756000000,-6352000000,94408000000,6335000000,88073000000,96114000000
BAC,2015,6,0,0,24,9,17,6.13E+11,2204000000,31842000000,9485000000,0,730000000,1.05E+11,20764000000,27730000000,3340000000,16149000000,88564000000,590000000,2.14E+12,2.56E+11,1.89E+12,93056000000
